#Wed Jan 28 01:49:28 2026
# Copy file into sbs-onl@sbsvtp#:~/cfg/pedestals for online pedestal subtraction
# format = APV        crate       slot       mpd_id       adc_ch followed by 
# APV channel number      pedestal mean      pedestal rms 
APV                2              13               0               0
               0               0               0
               1               0               0
               2               0               0
               3               0               0
               4               0               0
               5               0               0
               6               0               0
               7           29.32           20.58
               8          -11.53           24.24
               9          -38.22           10.83
              10          -9.331              22
              11           42.73           20.87
              12          -31.88           19.09
              13          -32.04           9.609
              14           15.92           18.82
              15           39.03           20.67
              16          -23.84           31.25
              17          -41.62            16.2
              18          -34.67           40.61
              19           10.89           13.73
              20          -12.69           27.12
              21          -41.62            12.9
              22          -13.94           15.52
              23           31.66           15.42
              24          -28.76           22.27
              25          -33.84           10.94
              26           6.017           11.98
              27            50.8           18.27
              28          -22.59           18.31
              29          -12.25            14.8
              30          -6.465            13.3
              31           58.08           20.84
              32          -40.81           30.81
              33          -47.07           15.27
              34          -14.32           17.43
              35           11.42           20.82
              36          -20.82           26.09
              37          -51.29           11.49
              38          -22.62           19.25
              39           34.93           19.51
              40          -25.58           19.77
              41          -27.97           10.04
              42           2.687           20.56
              43           57.63           20.82
              44           -35.6           17.36
              45          -7.882           12.28
              46           10.01           17.88
              47           94.73           22.46
              48          -10.46           31.85
              49          -36.55            15.3
              50          -17.27           29.09
              51           6.996           14.15
              52           -27.4           27.51
              53          -43.62           12.09
              54          -7.938           13.03
              55           36.85           16.83
              56          -23.49           20.84
              57          -32.68           11.27
              58           -2.31           12.84
              59           41.32            19.3
              60          -21.06           16.45
              61          -11.28           18.51
              62            16.7           13.94
              63           97.19           24.02
              64          -34.56           35.66
              65          -42.46           17.34
              66          -22.37           25.63
              67            28.3           25.06
              68          -149.5           98.02
              69          -18.43           13.88
              70           1.439           21.72
              71           41.53           20.67
              72           -40.5           36.53
              73           -35.3            12.6
              74           28.41           19.28
              75           35.01           19.91
              76          -23.83           21.34
              77           -21.7            10.9
              78           13.65           17.73
              79           90.91           21.07
              80          -51.16           33.64
              81          -39.45           16.87
              82          -27.65           23.28
              83           26.64           12.34
              84          -10.17           30.75
              85           -41.4           13.15
              86          -4.532            11.4
              87           42.81           15.54
              88          -9.804           22.22
              89          -40.34           13.44
              90           15.33           10.59
              91           78.94           18.84
              92           -38.1           18.33
              93          -28.71           22.78
              94           22.44              12
              95           94.81           21.22
              96          -56.88           30.85
              97          -26.08           14.71
              98          -25.32           21.96
              99           21.55           21.16
             100          -24.93           25.95
             101           -35.6           11.35
             102          -15.14           18.35
             103           40.89           19.47
             104          -29.02            20.2
             105          -30.82           12.38
             106           26.96           18.41
             107           67.71           20.96
             108           -15.9           17.55
             109          -7.852            10.8
             110           24.45           21.08
             111           101.9           22.44
             112          -27.89           33.07
             113          -38.45           14.98
             114          -27.44           18.85
             115           24.91           14.03
             116          -27.47           26.42
             117          -41.09           12.14
             118           4.694           10.97
             119           47.53           16.88
             120          -9.534           20.06
             121          -19.78           13.01
             122           28.31           11.68
             123           48.56           19.65
             124          -15.87           16.39
             125          -26.99           29.38
             126           20.73            13.5
             127           91.08           25.25
APV                2              13               0               2
               0               0               0
               1               0               0
               2               0               0
               3               0               0
               4               0               0
               5               0               0
               6               0               0
               7           20.02            18.6
               8          -35.41           17.24
               9          -40.33           9.214
              10           6.132           17.03
              11           50.63           20.05
              12          -36.88           14.31
              13          -3.997           9.139
              14             7.2           15.87
              15           52.84           20.07
              16           23.43           22.33
              17          -39.78           12.23
              18          -14.24           30.66
              19          -8.014           10.97
              20             -44            19.1
              21          -37.34           11.37
              22           14.35           13.01
              23           41.25           13.44
              24          -38.05           16.02
              25          -25.38           10.47
              26           17.86           9.913
              27           25.39           16.69
              28           -43.5           13.41
              29          -13.94           13.05
              30           22.59           10.39
              31           57.85           18.77
              32            31.6           22.28
              33          -32.49           12.77
              34           2.666            12.9
              35           6.146           18.85
              36          -45.59           18.15
              37          -27.66           11.19
              38          -17.27           14.32
              39           17.52            18.3
              40          -30.51           15.42
              41          -24.36           8.948
              42           25.17           16.94
              43           41.61           20.36
              44          -41.13           14.69
              45           5.153           9.188
              46           14.11           15.17
              47           72.41           20.34
              48           4.428           21.49
              49          -46.78           11.34
              50           4.949           21.67
              51           9.806           11.96
              52          -44.24           17.96
              53          -23.38           10.45
              54           6.832           11.06
              55           19.55           14.31
              56          -30.04           14.55
              57           -35.9           10.82
              58           3.882           10.12
              59           15.17           17.41
              60           -23.2              12
              61           11.33           15.17
              62           7.035           10.94
              63           71.28           18.53
              64           8.517           22.71
              65          -22.73              14
              66          -7.084            18.7
              67           14.37           18.15
              68          -35.32           19.98
              69          -27.76           11.75
              70          -23.35           15.13
              71           23.98           17.41
              72          -41.77           17.25
              73          -4.935           9.798
              74           18.59           14.75
              75           20.59           18.36
              76          -34.13           15.99
              77          -22.77           8.926
              78           5.147           14.76
              79             103           20.06
              80           16.73           23.75
              81          -32.38            13.3
              82           13.04           18.02
              83          -1.625           10.55
              84          -29.99           20.45
              85          -16.14           11.86
              86           13.39           10.39
              87           39.66           13.72
              88          -39.29           16.43
              89          -17.79           12.55
              90           3.128           9.207
              91           82.47           16.71
              92          -50.09           13.92
              93          -35.12           18.36
              94           17.17           9.851
              95           91.41           18.83
              96           15.74            22.1
              97          -38.88            12.7
              98          -2.527           16.43
              99           10.92           18.45
             100          -29.12              19
             101           -28.2           11.35
             102           2.019           14.02
             103            29.3            18.1
             104          -24.43           16.37
             105          -11.88           9.154
             106           5.963           14.87
             107           47.87           19.18
             108          -26.75           14.25
             109          -29.39           8.774
             110           26.77            17.8
             111             103           20.66
             112          -4.154           22.08
             113          -22.31           11.89
             114          -15.65           15.13
             115           18.42           11.45
             116          -30.74           18.75
             117          -35.81           11.03
             118           5.243           9.649
             119           16.68           14.64
             120          -44.81           14.72
             121          -13.77           12.12
             122          -10.51           9.472
             123           48.61           17.38
             124          -25.49           12.69
             125          -10.23            22.9
             126           9.582           10.74
             127           128.4           19.68
APV                2              13               0               4
               0               0               0
               1               0               0
               2               0               0
               3               0               0
               4               0               0
               5               0               0
               6               0               0
               7           32.74           9.908
               8          -40.26           11.86
               9          -6.794           7.459
              10           7.966           10.54
              11           47.35            10.5
              12          -54.93           9.982
              13          -2.133           7.108
              14           41.65            9.65
              15           41.25           11.02
              16          -69.64           14.48
              17          -42.99            8.34
              18            6.47           25.68
              19           19.41           9.415
              20          -39.65           12.95
              21           -27.9           7.505
              22           6.807           11.58
              23           32.06           9.151
              24          -60.36           11.12
              25          -23.26           7.419
              26           28.91           8.957
              27           41.47            10.1
              28          -42.27             8.9
              29          -6.787           10.35
              30           28.02           8.582
              31           56.07           11.41
              32          -52.35              15
              33          -32.77           8.219
              34           27.63           9.473
              35           41.84           10.15
              36          -59.39           12.55
              37          -18.94           7.411
              38           15.33           10.22
