#Wed Jun 24 17:06:50 2026
# Copy file into sbs-onl@sbsvtp#:~/cfg/pedestals for online pedestal subtraction
# format = APV        crate       slot       mpd_id       adc_ch followed by 
# APV channel number      pedestal mean      pedestal rms 
APV                2              13               3               0
               0               0               0
               1               0               0
               2               0               0
               3               0               0
               4               0               0
               5               0               0
               6               0               0
               7           2.355           10.51
               8          -33.76           11.24
               9          -9.078           6.792
              10           12.71           16.11
              11           13.64            11.5
              12          -18.26           10.34
              13           5.498           6.787
              14           23.85           15.08
              15           7.415           10.24
              16          -41.74            17.4
              17          -20.14           13.33
              18          -7.289           22.23
              19           1.277           6.374
              20          -31.87           14.04
              21          -1.124           9.929
              22           9.212           9.111
              23           20.92           6.856
              24           -30.9           11.51
              25          -7.115           8.123
              26           10.73           8.305
              27           26.93           8.993
              28           -1.91           10.15
              29          -11.63           9.883
              30            12.7           9.593
              31           17.07           9.206
              32          -17.28            17.5
              33          0.3225           7.835
              34           20.45           12.18
              35           8.624           11.48
              36          -25.09           13.42
              37           10.72           6.277
              38           9.531           13.48
              39           5.576           10.18
              40          -8.144           10.69
              41           6.012           6.884
              42           25.41              16
              43           25.77           11.55
              44          -7.805           9.474
              45          -4.812           7.554
              46           4.145           14.77
              47            -1.7           11.64
              48          -14.01           16.03
              49          0.1497           10.78
              50          -12.58           15.67
              51           5.629            5.91
              52          -28.86           13.05
              53          -17.69            8.45
              54         -0.5226           8.335
              55          -5.264           7.359
              56          -9.905           10.68
              57           9.457            8.39
              58            22.9           9.024
              59           25.43           9.748
              60          -5.119           9.504
              61           3.077           11.27
              62           27.99           10.14
              63           12.03            9.56
              64          -35.41           18.92
              65          -2.784           9.606
              66          -1.954           16.88
              67          -4.048           10.65
              68          -23.95           14.24
              69            23.7           6.581
              70           22.44           14.29
              71           24.47           9.757
              72          -20.09           15.18
              73           8.719           6.821
              74           23.41           13.96
              75           18.46           10.65
              76          -16.05           13.99
              77          -12.89           6.745
              78           17.99           14.73
              79           6.552           12.32
              80           -45.5           19.51
              81           4.862           11.49
              82           4.211           12.98
              83           6.785           5.689
              84          -20.35           15.39
              85          -6.114           9.441
              86            9.12           7.465
              87           13.31           7.031
              88          -2.125           12.09
              89           10.57           9.825
              90          0.1759           7.862
              91           14.12           9.293
              92          -17.22           11.55
              93          -21.33           13.36
              94           17.08           9.317
              95           5.555           10.23
              96          -40.18           20.65
              97           1.075            7.14
              98          -4.802           15.35
              99           11.66           10.56
             100          -24.48           13.87
             101           7.725           6.433
             102            18.2           13.43
             103           17.35           9.676
             104          -13.23           11.04
             105           7.478           7.257
             106           10.84           14.46
             107           16.51           11.18
             108           4.132           10.89
             109        -0.02353           7.483
             110            21.3           17.51
             111           16.17           11.37
             112          -28.42           17.53
             113          -9.906           10.22
             114           -1.81           10.97
             115           10.46           6.634
             116          -17.97           15.92
             117          -2.083           8.661
             118           17.07           7.428
             119           10.79           7.512
             120          -20.49           11.13
             121          -14.35            9.13
             122         -0.0584            8.95
             123           8.293           10.12
             124          -6.797           11.42
             125          -21.26           15.96
             126           33.81           10.95
             127          -22.45           13.13
APV                2              13               3               2
               0               0               0
               1               0               0
               2               0               0
               3               0               0
               4               0               0
               5               0               0
               6               0               0
               7           20.65              16
               8          -27.16           10.58
               9          -13.82            7.71
              10           12.35           18.58
              11           18.32           16.86
              12           -39.6            10.1
              13         -0.7089           8.738
              14           5.692           16.13
              15           40.93           15.23
              16          -13.22           16.73
              17          -17.31           10.85
              18          -14.89           42.08
              19            17.7           9.335
              20          -8.623           14.25
              21           -13.5           11.13
              22           9.795           17.21
              23           10.21           8.239
              24          -29.57           11.73
              25          -18.29           10.71
              26           21.69           11.09
              27           42.68           11.22
              28          -44.91           10.25
              29          -4.177           17.17
              30           25.06            9.14
              31           36.45            12.5
              32          -20.38           16.32
              33           -34.9           10.21
              34           22.62           13.78
              35            19.4           17.72
              36          -28.01           12.26
              37          -21.08           10.08
              38           6.504           16.15
              39           19.53           14.85
              40          -40.41           10.29
              41          -5.738           7.541
              42           19.33           17.48
              43           9.342           16.08
              44          -33.02           13.17
              45          -16.05           8.169
              46           16.42           14.43
              47            41.3           15.67
              48          -24.06            18.9
              49          -27.89           9.889
              50            15.1           30.75
              51           8.948           8.409
              52          -33.24           13.49
              53          -14.25           9.792
              54           2.943           13.88
              55           21.01           8.816
              56          -25.57           10.96
              57          -17.61           12.37
              58           11.84           10.33
              59           16.52           11.72
              60          -40.61           9.561
              61          -21.01           20.73
              62          -2.172           9.063
              63           56.47           11.73
              64          -7.696           16.38
              65          -28.67           9.401
              66           26.22            24.8
              67           22.67            17.4
              68          -36.58           13.32
              69          -19.69           9.659
              70           12.92           17.48
              71           36.89           13.63
              72          -34.55              11
              73          -8.629           7.978
              74           9.872            15.1
              75           40.37           14.96
              76          -32.44           12.17
              77            4.55           7.755
              78           2.808           14.91
              79           47.64           16.08
              80          -23.02           18.52
              81          -17.87           10.88
              82           28.45           24.72
              83           13.22           7.256
              84          -37.24           15.03
              85          -7.283           10.82
              86           9.297           13.15
              87           19.77           8.487
              88          -17.69            11.4
              89          -5.789           14.85
              90           11.73            9.71
              91           29.22           11.87
              92          -32.29           10.87
              93          -20.58           25.07
              94           18.83           8.231
              95            59.1           14.01
              96          -19.25           14.59
              97          -19.61           9.503
              98           5.035           20.51
              99           33.58           16.76
             100          -36.41           12.55
             101          -2.115           10.24
             102           14.82           15.01
             103           13.49           13.87
             104          -41.59           10.56
             105          -9.624           8.404
             106           9.206            14.7
             107           26.97           15.63
             108          -56.82           11.07
             109          -6.329           7.846
             110           25.57           19.08
             111            64.7           17.31
             112          -1.748           17.54
             113          -11.83           10.06
             114          -2.568           20.62
             115           10.38           7.749
             116          -11.87           13.59
             117          -10.72           10.65
             118           6.767           11.76
             119           20.31           9.254
             120          -7.313           10.42
             121          -19.89           14.78
             122           18.26           8.988
             123           39.54           12.99
             124           -33.1           10.28
             125          -27.21           31.54
             126           25.34           8.393
             127           43.43           13.91
APV                2              13               3               4
               0               0               0
               1               0               0
               2               0               0
               3               0               0
               4               0               0
               5               0               0
               6               0               0
               7           19.98           11.21
               8          -38.32           11.75
               9          -37.16            8.48
              10           1.902           14.93
              11           26.21           10.31
              12           -24.3           9.716
              13          -23.39           8.795
              14           6.837           10.85
              15           36.81           9.991
              16          0.2819            15.7
              17          -26.11           8.182
              18            -3.9           44.34
              19           26.46           12.59
              20          -28.14           11.99
              21          -30.81            7.47
              22          0.8643           16.34
              23           33.38           8.827
              24          -15.38           11.45
              25          -49.37           8.408
              26           11.77           10.98
              27           39.86           9.145
              28          -25.12           8.698
              29          -18.21           16.51
              30            6.98           10.45
              31           35.95           10.83
              32          -14.07           17.72
              33          -12.37           8.544
              34           9.848           12.22
              35           35.88           12.32
              36          -33.29           11.65
              37          -16.38            8.27
