#Thu Jun 25 12:06:54 2026
# Copy file into sbs-onl@sbsvtp#:~/cfg/pedestals for online pedestal subtraction
# format = APV        crate       slot       mpd_id       adc_ch followed by 
# APV channel number      pedestal mean      pedestal rms 
APV                2              13               5               0
               0           166.4           38.15
               1          -30.33           31.35
               2          -13.19           28.46
               3          -74.51           30.12
               4          -150.2           10.94
               5          -78.54           6.991
               6          -18.94            6.04
               7           11.23           4.642
               8          -64.85            4.14
               9          -21.42           4.468
              10           27.58           4.371
              11           4.866           4.278
              12          -63.71           4.371
              13          -29.91           4.194
              14           23.65           4.333
              15           54.26           4.327
              16          -18.76           4.516
              17          -33.76           4.144
              18           16.84           4.811
              19           12.92           4.251
              20          -49.38           4.383
              21          -24.48           4.253
              22           25.91           4.289
              23           28.63           4.127
              24          -34.86           4.222
              25           -21.6           4.275
              26           11.34           4.128
              27           39.11           4.254
              28          -44.34           4.101
              29          -10.79             4.4
              30           37.23           4.194
              31           52.76            4.28
              32          -32.18            4.46
              33          -25.77            4.45
              34           9.459           4.345
              35           31.66           4.544
              36           -57.4           4.347
              37          -28.85           4.283
              38            27.4           4.428
              39           41.05           4.543
              40          -37.15           4.392
              41          -17.78           4.401
              42           18.35           4.721
              43           54.66           4.677
              44          -53.75           4.434
              45          -10.07           4.612
              46           42.24           4.447
              47           93.67           5.077
              48          -30.73           4.222
              49          -33.74           3.976
              50           14.94           4.538
              51           26.91           4.182
              52          -53.22           4.128
              53          -38.47           4.049
              54            26.4           4.226
              55           33.73           4.057
              56          -49.74           4.043
              57          -33.71           4.102
              58           33.24           4.179
              59           41.58           4.178
              60          -44.33           3.865
              61            1.91           4.384
              62           32.53           3.903
              63           73.77           5.202
              64          -41.35           5.205
              65           -29.6           4.128
              66           32.42           4.728
              67           35.11           4.413
              68          -51.29           4.247
              69          -11.68           4.271
              70           19.21           4.547
              71           12.78            4.51
              72           -38.1           4.296
              73          -11.81           4.253
              74           11.57           4.311
              75           41.77           4.369
              76          -27.82           4.136
              77           5.324           4.327
              78           30.23           4.279
              79           79.61           4.761
              80          -40.76           4.275
              81          -44.87           4.011
              82           12.77           4.295
              83           25.47           4.187
              84          -57.77           4.368
              85          -39.56           4.091
              86           28.55           4.272
              87           27.25           4.075
              88             -31           4.145
              89          -21.05           4.179
              90           22.34           4.166
              91           55.94           4.229
              92          -37.44           3.985
              93           0.361           4.315
              94            22.2           4.365
              95           107.1            4.61
              96          -41.56           4.279
              97           -38.6            4.21
              98           33.96           5.019
              99           38.34           4.784
             100          -50.21           4.286
             101          -26.64            4.39
             102           33.15           4.607
             103           49.93           4.506
             104          -57.31            4.29
             105          -14.99           4.772
             106           25.52           4.489
             107           33.66           4.597
             108          -65.14           4.118
             109          -6.309           4.717
             110           44.57           4.575
             111           111.9           5.173
             112          -33.75            4.17
             113          -40.69           3.857
             114           29.97           4.174
             115            24.9           4.108
             116          -67.22           4.075
             117          -23.87           3.835
             118           16.52           3.984
             119           24.16           4.037
             120          -42.19            4.05
             121           -16.5           4.041
             122           23.17           3.975
             123           58.89           4.228
             124          -48.39           3.843
             125          -6.193           4.092
             126           25.56           3.966
             127           134.4            5.38
APV                2              13               5               1
               0           162.1           32.95
               1          -16.84           26.87
               2          -14.79           23.81
               3          -50.02           25.39
               4          -131.4           9.631
               5          -72.48           6.471
               6           -6.66           5.848
               7            30.2           4.741
               8          -60.91           4.212
               9          -41.78           4.686
              10          0.9177           4.403
              11           39.48           6.676
              12          -49.21           4.544
              13          -12.94           4.424
              14           46.78           4.555
              15           39.62            4.47
              16          -19.74           4.582
              17           -41.7           4.286
              18          -15.05            4.74
              19           18.09           4.428
              20          -61.66           4.437
              21          -30.14           4.361
              22           7.642           4.285
              23            50.8           4.226
              24          -41.21           4.401
              25          -28.02           4.457
              26           22.65           4.251
              27           45.95            4.43
              28          -42.21           4.268
              29          -9.555           4.601
              30           16.91           4.223
              31           48.28           4.448
              32          -30.81           4.543
              33          -20.47           4.631
              34           17.73           4.427
              35           25.95           4.662
              36          -57.81           4.459
              37          -40.15           4.434
              38           1.668            4.45
              39           36.04           4.707
              40          -54.62           4.558
              41          -22.61           4.579
              42           20.55           4.851
              43           53.17           4.883
              44           -42.1           4.543
              45          -10.03           4.967
              46           13.35           4.536
              47           61.53            5.17
              48          -25.51           4.366
              49          -23.35           4.271
              50         -0.3676           4.477
              51           41.92           4.287
              52          -59.94           4.206
              53          -36.95           4.211
              54           12.13           4.269
              55           32.69           6.173
              56          -37.99           4.315
              57          -16.12           4.261
              58           14.72           4.214
              59           51.96           4.433
              60          -25.76           4.064
              61          -22.23           4.374
              62           46.01           4.043
              63           81.58           5.247
              64          -31.55           4.542
              65          -42.03           4.301
              66          -10.99           4.661
              67           29.06           4.542
              68          -51.53           4.317
              69           -31.8           4.419
              70           17.17           4.699
              71           59.54           4.759
              72          -43.63           4.287
              73          -37.24           4.461
              74           7.625           4.444
              75           58.93           4.573
              76          -48.34           4.223
              77           -15.5           4.482
              78           26.59            4.42
              79           89.99            4.88
              80           -23.2           4.387
              81           -15.9           4.247
              82           15.78            4.34
              83           27.33           4.276
              84          -34.26           4.491
              85          -28.08           4.289
              86           18.93           4.238
              87           57.81           4.223
              88          -33.57           4.282
              89          -6.061           4.397
              90           35.99           4.185
              91           46.96           4.383
              92          -47.64           4.131
              93          -15.81           4.469
              94           31.15           4.404
              95            88.3           4.752
              96          -27.95           4.444
              97          -33.44           4.403
              98          -2.055           5.006
              99            49.1           4.905
             100          -55.69           4.338
             101          -20.98           4.519
             102           14.64           4.635
             103           51.07             5.2
             104          -49.52           4.502
             105          -12.32           5.002
             106           17.45           4.567
             107           56.52           4.853
             108          -25.17           4.324
             109          -14.61           4.894
             110           31.69           4.722
             111           131.4           5.202
             112          -31.67           4.287
             113          -38.49           4.051
             114           7.399           4.214
             115           44.65           4.264
             116          -49.48           4.203
             117          -30.36           4.011
             118           14.12           4.076
             119           30.49            4.13
             120          -57.95           4.191
             121          -35.42           4.149
             122           22.12           4.004
             123           54.55           4.389
             124          -41.51           4.012
             125           -19.5           4.218
             126           45.88           4.038
             127           114.2           5.313
APV                2              13               5               2
               0           76.24           31.48
               1          -21.98            25.7
               2          -36.63           22.46
               3          -69.25           22.42
               4          -115.5           9.124
               5          -49.96           6.253
               6          -25.22           5.549
               7            21.4           4.285
               8          -39.49           4.089
               9          -28.52           4.371
              10            13.3           4.162
              11           35.98           4.154
              12          -46.48           4.272
              13          -18.89           4.105
              14           25.08           4.165
              15           41.21           4.186
              16          -45.17           4.337
              17          -23.68           4.057
              18          -27.24           4.331
              19           38.08            4.13
              20          -40.54           4.302
              21          -16.87           4.121
              22           1.109           4.043
              23           47.08           3.969
              24          -38.71           4.174
              25          -18.11           4.157
              26           20.17           3.948
              27           51.61           4.176
              28          -22.79           4.142
              29          -1.373           4.198
              30           16.19           3.927
              31            40.4            4.16
              32          -41.35           4.354
              33          -21.62           4.272
              34           2.492           4.195
              35           56.51           4.315
              36           -43.3           4.262
              37          -22.87           4.124
              38           25.18           4.286
              39           72.25           4.324
              40           -29.8            4.29
              41           10.18           4.412
              42           25.64           4.454
              43           50.15           4.444
              44          -35.15           4.272
              45           8.274           4.502
              46           27.14           4.234
              47           43.81           4.706
              48          -58.05           4.107
              49          -20.13           3.961
              50           2.686           4.198
              51           13.43           4.006
              52          -27.43           4.023
              53          -20.65           3.913
              54           5.329           3.968
              55           48.73           3.955
              56             -50            4.03
              57          -6.196           3.944
              58           22.75           4.017
              59           49.19           4.127
              60          -32.99           3.869
              61          -20.25           4.054
              62           28.76           3.771
              63           58.71           4.783
              64          -31.65           4.362
              65          -28.67           4.033
              66           13.49           4.309
              67           29.32           4.127
              68          -43.86           4.209
              69          -5.633           4.147
              70           7.209           4.356
              71           29.03           4.243
              72          -46.55           4.139
              73         -0.9832           4.153
              74           23.07           4.146
              75           45.23           4.143
              76          -17.21           4.035
              77          -10.45           4.158
              78           29.39           4.104
              79           58.61           4.479
              80          -58.68           4.241
              81          -25.28           4.021
              82          -2.998           4.061
              83           40.92           4.033
              84          -38.34           4.296
              85          -6.284           4.041
              86           17.03           3.948
              87            34.2           3.985
              88          -49.01            4.07
              89          -18.65           4.015
              90           2.949             3.9
              91           40.95           4.087
              92          -47.99            3.92
              93          -19.12           4.074
              94           28.93           4.044
              95           50.83           4.369
              96           -61.7           4.146
              97          -10.14            4.13
              98           3.611           4.637
              99           29.87           4.489
             100          -54.74            4.14
             101          -20.26           4.319
             102           22.66           4.403
             103           49.44           4.292
             104          -53.06           4.135
             105          -1.509           4.616
             106              36           4.271
             107            43.1           4.423
             108          -11.13           4.101
             109         -0.4321           4.532
             110           34.82            4.37
             111           68.97           4.743
             112          -47.38           4.094
             113          -16.45           3.853
             114           15.14           3.916
             115           45.08           3.993
             116          -54.28           3.983
             117           2.565           3.761
             118          -8.342           3.785
             119           30.54           3.895
             120          -31.59           4.041
             121           21.99           3.897
             122           32.09           3.786
             123           26.37           4.115
             124          -33.13           3.812
             125           1.048           3.868
             126           27.69           3.848
             127           51.35           4.959
APV                2              13               5               3
               0           68.55           32.38
               1          -23.41           26.18
               2          -30.23           23.01
               3            -101           21.09
               4          -102.9           9.228
               5          -59.27           6.178
               6          -19.95           5.126
               7          -6.218           3.738
               8           -26.9           3.713
               9          -30.75           3.935
              10           -5.63           3.736
              11           8.133           3.687
              12          -39.23           3.902
              13          -18.65           3.807
              14           43.49           3.782
              15           30.28           3.734
              16          -24.46           3.991
              17          -20.21           3.662
              18          -17.53           3.843
              19          -3.117           3.691
              20          -34.33           3.909
              21          -26.99           3.661
              22           3.477           3.569
              23           30.88           3.583
              24          -18.85            3.84
              25          -29.82           3.707
              26           23.32           3.567
              27           47.88           3.751
              28          -14.48           3.737
              29          -7.372           3.694
              30           49.57           3.656
              31           49.83           3.733
              32          -24.32           3.949
              33          -26.64           3.888
              34           12.48           3.619
              35           11.29           3.142
              36          -33.78           3.923
              37          -23.89           3.766
              38            10.5           3.807
              39           27.95           3.884
              40          -15.53           3.938
              41          -20.65             3.9
              42           23.51           3.953
              43           33.08           3.896
              44          -9.215            3.85
              45          -16.54            4.14
              46           44.71           3.841
              47           44.76           4.058
              48          -28.07           3.765
              49           -15.1           3.617
              50          0.5145           3.689
              51           9.473           3.581
              52           -21.1           3.713
              53          -23.05           3.543
              54           -3.75           3.538
              55           17.43            3.56
              56          -23.91            3.69
              57          -21.03           3.566
              58           21.01           3.635
